dv,group1,group2,mean1,mean2,diff_mean,se,t,df,q,p,significant(alpha=0.05)
ROC_AUC,BreastSeg,FixedTemp,0.90559,0.9546033333333334,-0.04901333333333335,0.008511498420606368,5.758484688744334,46.66859303455692,8.143727145540048,0.001,True
ROC_AUC,BreastSeg,Original,0.90559,0.94408,-0.038490000000000024,0.00853973370335035,4.507166304834476,47.032454898466426,6.374095716167943,0.001,True
ROC_AUC,FixedSize,Moved,0.9386500000000001,0.8991233333333334,0.03952666666666671,0.008418055899915351,4.69546260283971,47.79983531448166,6.640386894551591,0.001,True
ROC_AUC,FixedTemp,Moved,0.9546033333333334,0.8991233333333334,0.055479999999999974,0.008376949993150222,6.62293556071907,47.274067201278044,9.36624529269197,0.001,True
ROC_AUC,FixedTemp,NoMarker,0.9546033333333334,0.90542,0.04918333333333336,0.008429064227705783,5.834969577248083,47.036698985047785,8.251893112178644,0.001,True
ROC_AUC,Moved,Original,0.8991233333333334,0.94408,-0.044956666666666645,0.00840563724817415,5.3483948140198425,47.64228317206667,7.563772482912789,0.001,True
ROC_AUC,NoMarker,Original,0.90542,0.94408,-0.03866000000000003,0.008457574718259513,4.571050364655351,47.40332356134905,6.46444141998608,0.001,True
ROC_AUC,BreastMarkerSeg,FixedTemp,0.92383,0.9546033333333334,-0.03077333333333332,0.007376515442716051,4.171798130473716,52.46979928817566,5.899813495598653,0.0020733577141225368,True
ROC_AUC,FixedSize,NoMarker,0.9386500000000001,0.90542,0.03323000000000009,0.008469917219261913,3.923296903590733,47.56026703809357,5.548379690274384,0.004880224576076064,True
ROC_AUC,BreastSeg,FixedSize,0.90559,0.9386500000000001,-0.03306000000000009,0.008551957630294062,3.865781547243623,47.1883229569729,5.46704069328358,0.005824269764785783,True
ROC_AUC,BreastMarkerSeg,Original,0.92383,0.94408,-0.02024999999999999,0.007409077299959933,2.7331338546176998,52.82382666314856,3.8652349649814064,0.1101681952304171,False
ROC_AUC,BreastMarkerSeg,Moved,0.92383,0.8991233333333334,0.024706666666666655,0.00937221846348041,2.6361599191203378,56.19104780538304,3.7280931102043433,0.13447157501158358,False
ROC_AUC,FixedSize,FixedTemp,0.9386500000000001,0.9546033333333334,-0.015953333333333264,0.006118673572231562,2.6073189139774406,57.98028394654659,3.687305769578786,0.14257141471033552,False
ROC_AUC,BreastMarkerSeg,FixedSize,0.92383,0.9386500000000001,-0.014820000000000055,0.007423163343412869,1.9964534409916974,52.97300366774585,2.8234115328968925,0.4312349128696241,False
ROC_AUC,BreastMarkerSeg,NoMarker,0.92383,0.90542,0.018410000000000037,0.009418827501034982,1.954595728393695,56.029682942386344,2.764215788050882,0.4562327916949588,False
ROC_AUC,BreastMarkerSeg,BreastSeg,0.92383,0.90559,0.018240000000000034,0.009492670493778254,1.92148247555364,55.766738703035486,2.717386576790187,0.47637722090260803,False
ROC_AUC,FixedTemp,Original,0.9546033333333334,0.94408,0.010523333333333329,0.0061015767386240405,1.7246908109372454,57.990301984477206,2.439081135727704,0.589480814878335,False
ROC_AUC,BreastSeg,Moved,0.90559,0.8991233333333334,0.006466666666666621,0.010289368504167756,0.6284804226855387,57.97329393834484,0.8888055374478643,0.9,False
ROC_AUC,BreastSeg,NoMarker,0.90559,0.90542,0.00017000000000000348,0.010331840919294547,0.016453989306255308,57.99007539405695,0.02326945483204813,0.9,False
ROC_AUC,FixedSize,Original,0.9386500000000001,0.94408,-0.005429999999999935,0.006157890275384755,0.8817955106646748,57.99823932742825,1.2470471704216923,0.9,False
ROC_AUC,Moved,NoMarker,0.8991233333333334,0.90542,-0.006296666666666617,0.010221282825818098,0.6160348729184725,57.99592415151537,0.8712048721760899,0.9,False
